tortoise,species,passage,scat,successes,total
C,waltheria,gutpassage,yesscat,0,4
D,waltheria,gutpassage,yesscat,0,5
E,waltheria,gutpassage,yesscat,0,7
F,waltheria,gutpassage,yesscat,0,6
G,waltheria,gutpassage,yesscat,0,4
A,waltheria,nogutpassage,noscat,1,3
B,waltheria,nogutpassage,noscat,3,7
C,waltheria,nogutpassage,noscat,2,4
D,waltheria,nogutpassage,noscat,3,6
E,waltheria,nogutpassage,noscat,4,7
F,waltheria,nogutpassage,noscat,5,8
G,waltheria,nogutpassage,noscat,3,5
A,waltheria,nogutpassage,yesscat,2,5
B,waltheria,nogutpassage,yesscat,4,6
C,waltheria,nogutpassage,yesscat,3,4
D,waltheria,nogutpassage,yesscat,4,5
E,waltheria,nogutpassage,yesscat,7,9
F,waltheria,nogutpassage,yesscat,5,6
G,waltheria,nogutpassage,yesscat,8,9
