individual,individual,species,date_eaten,date_excreted,recovered
G,616114,eustachys,11/18/15,1/9/16,1
G,616114,eustachys,11/18/15,1/9/16,1
G,616114,eustachys,11/18/15,1/10/16,1
G,616114,eustachys,11/18/15,1/10/16,1
G,616114,eustachys,11/18/15,1/12/16,1
G,616114,eustachys,11/18/15,1/12/16,1
B,616114,fimbristylis,11/18/15,1/7/16,1
C,284061,fimbristylis,3/1/16,4/22/16,1
C,284061,fimbristylis,3/1/16,4/28/16,1
C,284061,fimbristylis,3/1/16,5/7/16,1
C,284061,fimbristylis,3/1/16,5/15/16,1
C,284061,fimbristylis,3/1/16,5/27/16,1
D,A73789572,fimbristylis,8/30/16,9/23/16,1
D,A73789572,fimbristylis,8/30/16,9/23/16,1
D,A73789572,fimbristylis,8/30/16,9/24/16,1
D,A73789572,fimbristylis,8/30/16,9/24/16,1
D,A73789572,fimbristylis,8/30/16,9/24/16,1
D,A73789572,fimbristylis,8/30/16,10/4/16,1
D,A73789572,fimbristylis,8/30/16,9/24/16,1
D,A73789572,fimbristylis,8/30/16,9/24/16,1
D,A73789572,fimbristylis,8/30/16,10/4/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/16/16,1
D,A73789572,fimbristylis,8/30/16,10/19/16,1
D,A73789572,fimbristylis,8/30/16,10/19/16,1
D,A73789572,fimbristylis,8/30/16,10/24/16,1
D,A73789572,fimbristylis,8/30/16,10/24/16,1
D,A73789572,fimbristylis,8/30/16,10/30/16,1
D,A73789572,fimbristylis,8/30/16,10/30/16,1
D,A73789572,fimbristylis,8/30/16,10/30/16,1
D,A73789572,fimbristylis,8/30/16,10/30/16,1
D,A73789572,fimbristylis,8/30/16,10/30/16,1
D,A73789572,fimbristylis,8/30/16,12/1/16,1
D,A73789572,fimbristylis,8/30/16,12/1/16,1
D,A73789572,fimbristylis,8/30/16,12/13/16,1
D,A73789572,fimbristylis,8/30/16,12/28/16,1
E,284061,fimbristylis,3/1/16,4/24/16,1
E,284061,fimbristylis,3/1/16,4/28/16,1
E,284061,fimbristylis,3/1/16,5/7/16,1
E,284061,fimbristylis,3/1/16,5/12/16,1
E,284061,fimbristylis,3/1/16,5/27/16,1
G,616114,fimbristylis,11/18/15,1/9/16,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/26/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,7/30/15,1
A,48081068,opuntia,6/30/15,8/6/15,1
A,48081068,opuntia,6/30/15,8/7/15,1
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
A,48081068,opuntia,6/30/15,,0
